Record Number,Fiscal Year,Department Name,Sub-Unit of Department,EEO Category Name,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year
12647,2013,"Administrative Services, Department of",,Skilled Craft,Involuntary Dismissal,Permanent (Merit),014,21+13.5%,PAINTER 2,06/22/2012,07/05/2012,false
12648,2013,"Commerce, Department of",Insurance Division,Professional,Retirement,Permanent (Merit),014,29,COMPLIANCE OFFICER 1,06/22/2012,07/05/2012,false
12649,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/22/2012,07/05/2012,false
12650,2013,"Education, Department of",Vocational Rehabilitation,Official/Administrator,Retirement,Permanent (Merit),000,29,EXEC OFF 1,06/22/2012,07/05/2012,false
12651,2013,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,30,MANAGEMENT ANALYST 3,06/22/2012,07/05/2012,false
12652,2013,"Human Services, Department of",General Administration,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,06/22/2012,07/05/2012,false
12656,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,28,SOCIAL WORKER 4,06/22/2012,07/05/2012,false
12655,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),014,21,ADMIN ASSISTANT 1,06/22/2012,07/05/2012,false
12654,2013,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),000,20,SECRETARY 2,06/22/2012,07/05/2012,false
12653,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),009,27,SOCIAL WORKER 3,06/22/2012,07/05/2012,false
12657,2013,"Human Services, Department of",Cherokee CCUSO,Official/Administrator,Retirement,Permanent (Merit),000,35,PSYCHOLOGY ADMINISTRATOR,06/22/2012,07/05/2012,false
12658,2013,"Human Services, Department of",Clarinda,Technician,Retirement,Permanent (Merit),014,20,NURSING UNIT COORDINATOR,06/22/2012,07/05/2012,false
12663,2013,"Public Safety, Department of",,Official/Administrator,Retirement,Permanent (Merit),000,35,PUBLIC SERVICE EXECUTIVE 3,06/22/2012,07/05/2012,false
12664,2013,Iowa Veterans Home,,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,06/22/2012,07/05/2012,false
12666,2013,Iowa Veterans Home,,Technician,Retirement,Permanent (Merit),009,25,MEDICAL TECHNOLOGIST,06/22/2012,07/05/2012,false
12665,2013,Iowa Veterans Home,,Service/Maintenance,Retirement,Permanent (Merit),014,15,CENTRAL SUPPLY WORKER,06/22/2012,07/05/2012,false
12667,2013,Iowa Veterans Home,,Professional,Voluntary Resignation,Permanent (Merit),000,31,NURSE SUPERVISOR 1,06/22/2012,07/05/2012,false
12668,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,06/25/2012,07/05/2012,false
12670,2013,"Natural Resources, Department of",,Protective Services - Sworn,Retirement,Permanent (Merit),017,28,PARK RANGER,06/25/2012,07/05/2012,false
12671,2013,"Public Safety, Department of",,Protective Services - Sworn,Retirement,Permanent (Nonmerit),007,79,TROOPER 3,06/25/2012,07/05/2012,false
12672,2013,"Corrections, Department of",Oakdale,Technician,Retirement,Permanent (Merit),014,26,LICENSED PRACTICAL NURSE,06/26/2012,07/05/2012,false
12673,2013,"Corrections, Department of",Clarinda,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/26/2012,07/05/2012,false
12674,2013,"State Public Defender, Office of",,Professional,Involuntary Dismissal,Permanent (Nonmerit),014,29,PUBLIC DEFENDER 1,06/26/2012,07/05/2012,false
12675,2013,"Corrections, Department of",Anamosa,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/27/2012,07/05/2012,false
12676,2013,Iowa Workforce Development,,Administrative Support,Retirement,Permanent (Merit),014,19,WORD PROCESSOR 3,06/27/2012,07/05/2012,false
12677,2013,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,06/27/2012,07/05/2012,false
12678,2013,"Public Safety, Department of",,Protective Services - Sworn,Retirement,Permanent (Nonmerit),007,79,TROOPER 3,06/27/2012,07/05/2012,false
12679,2013,"Public Safety, Department of",,Protective Services - Sworn,Voluntary Resignation,Permanent (Nonmerit),007,29,TROOPER 2,06/27/2012,07/05/2012,false
12681,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,06/27/2012,07/05/2012,false
12680,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,13,FOOD SERVICE WORKER,06/27/2012,07/05/2012,false
12682,2013,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),000,29,CORRECTIONAL SUPERVISOR 2,06/28/2012,07/05/2012,false
12683,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/28/2012,07/05/2012,false
12684,2013,"Education, Department of",,Official/Administrator,Retirement,Permanent (Nonmerit),000,43,PUBLIC SERVICE EXECUTIVE 6,06/28/2012,07/05/2012,false
12685,2013,"Human Services, Department of",Field Operations,Administrative Support,Retirement,Permanent (Merit),014,15,TYPIST-ADVANCED,06/28/2012,07/05/2012,false
12686,2013,"Human Services, Department of",Field Operations,Technician,Retirement,Permanent (Merit),009,27,INCOME MAINT WORKER 4,06/28/2012,07/05/2012,false
12687,2013,"Inspections & Appeals, Department of",,Professional,Retirement,Permanent (Merit),014,31,HEALTH FACILITIES SURVEYOR,06/28/2012,07/05/2012,false
12690,2013,Iowa Veterans Home,,Service/Maintenance,Death,Permanent (Merit),014,10,RESIDENT AIDE,06/28/2012,07/05/2012,false
12689,2013,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),000,33,NURSE SUPERVISOR 2,06/28/2012,07/05/2012,false
12692,2013,"Administrative Services, Department of",,Administrative Support,Voluntary Resignation,Permanent (Merit),000,21,VEHICLE FLEET SUPERVISOR,06/29/2012,07/05/2012,false
12694,2013,"Administrative Services, Department of",,Service/Maintenance,Retirement,Permanent (Merit),000,21,CUSTODIAL SUPERVISOR,06/29/2012,07/05/2012,false
12691,2013,"Administrative Services, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,06/29/2012,07/05/2012,false
12693,2013,"Administrative Services, Department of",,Service/Maintenance,Retirement,Permanent (Merit),014,13,CUSTODIAL WORKER,06/29/2012,07/05/2012,false
12695,2013,"Administrative Services, Department of",,Service/Maintenance,Retirement,Permanent (Merit),014,13,CUSTODIAL WORKER,06/29/2012,07/05/2012,false
12696,2013,Agriculture and Land Stewardship,,Official/Administrator,Voluntary Resignation,Permanent (Merit),000,32,PUBLIC SERVICE EXECUTIVE 2,06/29/2012,07/05/2012,false
12697,2013,Attorney General,,Professional,Retirement,Permanent (Nonmerit),000,39,ASST ATTORNEY GENERAL 3,06/29/2012,07/05/2012,false
12698,2013,Attorney General,Consumer Advocate,Professional,Retirement,Permanent (Merit),000,42,UTILITY ATTORNEY 2,06/29/2012,07/05/2012,false
12699,2013,"Corrections, Department of",Central Office,Official/Administrator,Retirement,Permanent (Merit),000,38,EXEC OFF 4,06/29/2012,07/05/2012,false
12700,2013,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/29/2012,07/05/2012,false
12701,2013,"Corrections, Department of",Oakdale,Professional,Retirement,Permanent (Merit),009,28,CORRECTIONAL COUNSELOR,06/29/2012,07/05/2012,false
12702,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/29/2012,07/05/2012,false
12703,2013,Economic Development Authority,,Professional,Retirement,Permanent (Nonmerit),000,36,ADMIN ASSISTANT 6,06/29/2012,07/05/2012,false
12704,2013,Economic Development Authority,,Official/Administrator,Retirement,Permanent (Nonmerit),000,41,PUBLIC SERVICE EXECUTIVE 5,06/29/2012,07/05/2012,false
12706,2013,"Education, Department of",,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,06/29/2012,07/05/2012,false
12707,2013,"Education, Department of",,Professional,Retirement,Permanent (Nonmerit),000,32,EDUCATION PROGRAM CONSULTANT,06/29/2012,07/05/2012,false
12705,2013,"Education, Department of",,Administrative Support,Involuntary Layoff,Permanent (Merit),014,17,SECRETARY 1,06/29/2012,07/05/2012,false
12708,2013,"Education, Department of",,Official/Administrator,Retirement,Permanent (Nonmerit),000,40,EXEC DIR/ED EXAMINERS BOARD,06/29/2012,07/05/2012,false
12709,2013,"Education, Department of",Vocational Rehabilitation,Technician,Retirement,Permanent (Nonmerit),009,29,DISABILITY EXAMINER SPECIALIST,06/29/2012,07/05/2012,false
12710,2013,"Education, Department of",Vocational Rehabilitation,Official/Administrator,Retirement,Permanent (Nonmerit),000,38,PUBLIC SERVICE EXECUTIVE 4,06/29/2012,07/05/2012,false
12712,2013,Iowa Workforce Development,,Official/Administrator,Retirement,Permanent (Merit),000,26,WORKFORCE DEVELOPMENT SUPV,06/29/2012,07/05/2012,false
12711,2013,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,24,WORKFORCE ADVISOR,06/29/2012,07/05/2012,false
12715,2013,"Human Services, Department of",General Administration,Professional,Retirement,Permanent (Merit),014,30,MANAGEMENT ANALYST 3,06/29/2012,07/05/2012,false
12713,2013,"Human Services, Department of",General Administration,Professional,Retirement,Permanent (Merit),014,29,STATISTICAL RESEARCH ANALYST 3,06/29/2012,07/05/2012,false
12716,2013,"Human Services, Department of",General Administration,Professional,Retirement,Permanent (Merit),014,29,PROGRAM PLANNER 3,06/29/2012,07/05/2012,false
12714,2013,"Human Services, Department of",General Administration,Professional,Retirement,Permanent (Merit),014,29,STATISTICAL RESEARCH ANALYST 3,06/29/2012,07/05/2012,false
12719,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),014,24,ADMIN ASSISTANT 2,06/29/2012,07/05/2012,false
12718,2013,"Human Services, Department of",Field Operations,Administrative Support,Voluntary Resignation,Permanent (Merit),014,15,TYPIST-ADVANCED,06/29/2012,07/05/2012,false
12717,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,25,SOCIAL WORKER 2,06/29/2012,07/05/2012,false
12720,2013,"Human Services, Department of",Glenwood,Professional,Retirement,Permanent (Merit),000,27(-5.0),TRAINING SPECIALIST 1,06/29/2012,07/05/2012,false
12721,2013,"Human Services, Department of",Woodward,Technician,Involuntary Dismissal,Permanent (Merit),014,26,LICENSED PRACTICAL NURSE,06/29/2012,07/05/2012,false
12722,2013,"Human Services, Department of",Woodward,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,13,CUSTODIAL WORKER,06/29/2012,07/05/2012,false
12725,2013,"Inspections & Appeals, Department of",,Administrative Support,Involuntary Layoff,Permanent (Merit),014,16,WORD PROCESSOR 2,06/29/2012,07/05/2012,false
12724,2013,"Inspections & Appeals, Department of",,Administrative Support,Involuntary Layoff,Permanent (Merit),014,16,WORD PROCESSOR 2,06/29/2012,07/05/2012,false
12723,2013,"Inspections & Appeals, Department of",,Administrative Support,Involuntary Layoff,Permanent (Merit),014,16,WORD PROCESSOR 2,06/29/2012,07/05/2012,false
12726,2013,"Inspections & Appeals, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,32,COMPLIANCE OFFICER 2,06/29/2012,07/05/2012,false
12733,2013,"Natural Resources, Department of",,Professional,Retirement,Permanent (Merit),014,29,PURCHASING AGENT 3,06/29/2012,07/05/2012,false
12734,2013,"Natural Resources, Department of",,Protective Services - Sworn,Retirement,Permanent (Merit),017,28,CONSERVATION OFFICER,06/29/2012,07/05/2012,false
12735,2013,"Public Safety, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,35,EXEC OFF 3,06/29/2012,07/05/2012,false
12736,2013,"Revenue, Department of",,Professional,Retirement,Permanent (Merit),014,27,REVENUE AUDITOR 2,06/29/2012,07/05/2012,false
12737,2013,"Revenue, Department of",,Professional,Retirement,Permanent (Merit),014,35,INFO TECH SPECIALIST 5,06/29/2012,07/05/2012,false
12738,2013,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),014,31,NURSE CLINICIAN,06/29/2012,07/05/2012,false
12739,2013,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,06/30/2012,07/05/2012,false
12741,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,06/30/2012,07/05/2012,false
12740,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,06/30/2012,07/05/2012,false
12743,2013,Iowa Finance Authority,,Official/Administrator,Retirement,Permanent (Nonmerit),000,38,PUBLIC SERVICE EXECUTIVE 4,07/02/2012,07/05/2012,false
12744,2013,Iowa Workforce Development,,Professional,Voluntary Resignation,Permanent (Merit),014,24,ADMIN ASSISTANT 2,07/02/2012,07/05/2012,false
12745,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/02/2012,07/05/2012,false
12746,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/02/2012,07/05/2012,false
12747,2013,"Public Health, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,26,BUDGET ANALYST 2,07/02/2012,07/05/2012,false
12748,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,13,FOOD SERVICE WORKER,07/02/2012,07/05/2012,false
12749,2013,Attorney General,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,34,ASST ATTORNEY GENERAL 2,07/03/2012,07/05/2012,false
12750,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),014,19,SOCIAL WORK ASSOCIATE,07/03/2012,07/05/2012,false
12751,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,07/03/2012,07/05/2012,false
12753,2013,Iowa Veterans Home,,Technician,Voluntary Resignation,Probationary (Merit),014,26,LICENSED PRACTICAL NURSE,07/03/2012,07/05/2012,false
12752,2013,Iowa Veterans Home,,Service/Maintenance,Disability/Medical,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/03/2012,07/05/2012,false
12754,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Disability/Medical,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/04/2012,07/05/2012,false
12755,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,07/05/2012,07/05/2012,false
12756,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Voluntary Resignation,Probationary (Merit),014,23,CORRECTIONAL OFFICER,07/05/2012,07/05/2012,false
12757,2013,"Education, Department of",,Professional,Voluntary Resignation,Permanent (Nonmerit),000,38,ATTORNEY 3,07/05/2012,07/05/2012,false
12758,2013,"Human Rights, Department of",,Professional,Retirement,Permanent (Merit),014,26,ACCOUNTANT 2,07/05/2012,07/05/2012,false
12759,2013,"Human Services, Department of",Woodward,Professional,Voluntary Resignation,Permanent (Merit),014,32,PHYSICAL THERAPIST 1,07/05/2012,07/05/2012,false
12760,2013,"Inspections & Appeals, Department of",Racing Commission,Professional,Retirement,Permanent (Merit),014,27,GAMING REPRESENTATIVE 2,07/05/2012,07/05/2012,false
12762,2013,Law Enforcement Academy,,Administrative Support,Voluntary Resignation,Permanent (Merit),014,17,SECRETARY 1,07/05/2012,07/05/2012,false
12763,2013,"Public Defense, Department of",,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,07/05/2012,07/05/2012,false
