Record Number,Fiscal Year,Department Name,Sub-Unit of Department,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year,Separation Year,Recent Layoff,Voluntary/Involuntary,Employee Status Encoded,EEO_EEO Category Name_Administrative Support,EEO_EEO Category Name_Official/Administrator,EEO_EEO Category Name_Professional,EEO_EEO Category Name_Protective Services - Sworn,EEO_EEO Category Name_Service/Maintenance,EEO_EEO Category Name_Skilled Craft,EEO_EEO Category Name_Technician,EEO_EEO Category Name_nan
12647,2013,"Administrative Services, Department of",Field Operations,Involuntary Dismissal,Permanent (Merit),014,24.0,PAINTER 2,2012-06-22,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12648,2013,"Commerce, Department of",Insurance Division,Retirement,Permanent (Merit),014,29.0,COMPLIANCE OFFICER 1,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12649,2013,"Corrections, Department of",Oakdale,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12650,2013,"Education, Department of",Vocational Rehabilitation,Retirement,Permanent (Merit),000,29.0,EXEC OFF 1,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12651,2013,Iowa Workforce Development,Field Operations,Retirement,Permanent (Merit),014,30.0,MANAGEMENT ANALYST 3,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12652,2013,"Human Services, Department of",General Administration,Retirement,Permanent (Merit),014,32.0,EXEC OFF 2,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12656,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),009,28.0,SOCIAL WORKER 4,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12655,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),014,21.0,ADMIN ASSISTANT 1,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12654,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),000,20.0,SECRETARY 2,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12653,2013,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),009,27.0,SOCIAL WORKER 3,2012-06-22,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12657,2013,"Human Services, Department of",Cherokee CCUSO,Retirement,Permanent (Merit),000,35.0,PSYCHOLOGY ADMINISTRATOR,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12658,2013,"Human Services, Department of",Clarinda,Retirement,Permanent (Merit),014,20.0,NURSING UNIT COORDINATOR,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
